3020, "2016/1/2 13:14:28", 23.74
3030, "2016/1/2 13:25:51", 23.74
3040, "2016/1/2 13:37:14", 23.85
3050, "2016/1/2 13:48:37", 23.85
3060, "2016/1/2 14:0:0", 23.85
3070, "2016/1/45 32:59:195", 23.66
3080, "2016/1/2 14:22:46", 23.80
3090, "2016/1/2 14:34:9", 23.85
3100, "2016/1/2 14:255:255", nan
3110, "2016/1/2 14:56:55", 23.85
3120, "2016/1/2 15:8:18", 23.85
3130, "2016/1/2 15:19:41", 23.78
3140, "2016/1/2 15:31:4", 23.85
3150, "2016/1/2 15:42:27", 23.95
3160, "2016/1/2 15:53:50", nan
3170, "2016/1/2 16:5:13", 23.85
3180, "2016/1/2 16:16:36", 23.85
3190, "2016/1/2 16:27:59", 23.85
3200, "2002/17/13 30:59:195", 23.78
3210, "2016/1/2 16:50:45", 23.85
3220, "2016/1/2 17:2:8", 23.85
3230, "2016/1/255 255:255:255", nan
3240, "2016/1/2 17:24:53", 23.85
3250, "2016/1/2 17:36:16", 23.74
3260, "2016/1/2 17:70:11", 23.41
3270, "2016/1/2 17:59:2", 23.52
3280, "2016/1/2 18:10:25", 23.63
3290, "2016/1/2 18:21:48", nan
3300, "2016/1/2 18:33:11", 23.69
3310, "2016/1/2 18:44:33", 23.63
3320, "2016/1/2 18:55:56", 23.63
3330, "2016/1/2 19:7:19", 23.74
3340, "2016/1/2 19:18:42", 23.74
3350, "2016/1/2 19:30:5", 23.67
3360, "2016/1/2 19:41:28", 23.64
3370, "2016/1/2 19:52:51", 23.63
3380, "2016/1/2 20:4:14", 23.63
3390, "2016/1/49 45:74:113", 23.66
3400, "2016/1/2 20:26:59", 23.63
3410, "2016/1/2 20:38:22", 23.56
3420, "2016/1/2 20:255:255", nan
3430, "2016/1/2 21:1:8", 23.52
3440, "2016/1/2 21:12:31", 23.52
3450, "2016/1/2 21:23:54", 23.53
3460, "2016/1/2 21:35:16", 23.52
3470, "2016/1/2 21:46:39", 23.52
3480, "2016/1/2 21:58:2", nan
3490, "2016/1/2 22:9:25", 23.42
3500, "2016/1/2 22:20:48", 23.42
3510, "2016/1/2 22:32:10", 23.42
3520, "2002/23/17 41:86:119", 23.41
3530, "2016/1/2 22:54:56", 23.31
